apk,category,violation_type,is_violation,config1,config2,aql_timer,ast_changes,bad_aql_runs_binary,bad_aql_runs_hdd,bad_compile_runs_binary,bad_compile_runs_hdd,binary_timer,compile_timer,end_line_count,good_aql_runs_binary,good_aql_runs_hdd,good_compile_runs_binary,good_compile_runs_hdd,hdd_timer,jdeps_timer,method_timer,program_timer,rejected_changes,setup_timer,start_line_count,time_bad_aql_runs_binary,time_bad_aql_runs_hdd,time_bad_compile_runs_binary,time_bad_compile_runs_hdd,time_good_aql_runs_binary,time_good_aql_runs_hdd,time_good_compile_runs_binary,time_good_compile_runs_hdd,total_rotations
LocationLeak2,Callbacks,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,1ef9d1d10bc982ab49d3b8eaf4409c05,0,45,0,16,0,27,37,0,36,0,2,0,18,2151,5,0,2226,82,36,40,0,213,0,1320,0,32,0,583,2
Unregister1,Callbacks,FALSE,TRUE,c167cc6905f08070a40daaa496572761,3fa3ced729021dfe3f9716ed7591b7f8,0,25,1,14,0,10,153,0,33,0,0,1,14,1040,5,0,1218,38,23,33,14,181,0,437,0,0,92,420,1
ServiceLifecycle1,Lifecycle,TRUE,TRUE,95682e3ba9ce7d830b6f14564a4124f8,c167cc6905f08070a40daaa496572761,0,13,0,2,0,11,42,0,24,0,0,0,2,456,6,0,543,18,43,24,0,25,0,382,0,0,0,48,1
UnreachableBoth,UnreachableCode,TRUE,TRUE,691c8aee3c8122ba7071c39842bf3a89,9e71d1dbb7f99254dd5f81811f612f41,0,22,0,8,0,11,18,0,22,0,3,0,11,1182,4,0,1236,34,35,25,0,101,0,417,0,40,0,621,2
Exceptions6,GeneralJava,TRUE,TRUE,7196205eb13a717874272a12b099976f,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,18,0,4,0,12,27,0,21,0,2,0,6,776,4,0,832,24,27,25,0,52,0,438,0,29,0,254,2
LocationLeak3,Callbacks,TRUE,TRUE,4927839d0bfc64be8099aac544fbadfd,c35ed0b7f9c3d443ecacff168d0a98c6,0,47,2,13,0,27,655,0,50,2,3,4,16,3927,4,0,4635,70,51,53,29,195,0,2328,32,54,416,1347,2
Exceptions1,GeneralJava,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,15,0,3,0,11,67,0,19,0,1,0,4,578,5,0,671,20,25,21,0,38,0,389,0,14,0,134,2
Parcel1,AndroidSpecific,TRUE,TRUE,ee31c01ef51444b6c1bd417af9934d84,455b5a41fee3f4d1e256727f07d3f3f7,0,76,0,8,0,59,110,0,39,1,8,1,16,2984,5,0,3403,134,307,59,0,117,0,2034,15,125,23,705,2
Loop1,GeneralJava,TRUE,TRUE,7196205eb13a717874272a12b099976f,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,13,0,4,0,9,57,0,18,0,0,0,4,1180,4,0,1367,24,128,18,0,64,0,805,0,0,0,309,1
BroadcastReceiverLifecycle1,Lifecycle,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,1ef9d1d10bc982ab49d3b8eaf4409c05,0,8,0,4,0,4,44,0,16,0,0,0,4,255,5,0,326,11,26,16,0,47,0,83,0,0,0,124,1
LocationLeak3,Callbacks,TRUE,TRUE,5c2abed233d2263f7fde277efb2c6326,c35ed0b7f9c3d443ecacff168d0a98c6,0,43,2,11,0,26,377,0,50,2,2,4,13,3286,4,0,3767,65,102,53,18,170,0,2086,35,37,264,991,2
ActivityEventSequence1,Lifecycle,TRUE,TRUE,95682e3ba9ce7d830b6f14564a4124f8,c167cc6905f08070a40daaa496572761,0,21,0,4,0,13,23,0,17,0,4,0,8,753,4,0,800,32,23,29,0,51,0,423,0,57,0,220,2
